
"IDCOTIZA","IDCLTE","FECHA","STATUS","VALOR_USD","VALOR_MXP","IDUSRELAB","IDUSRVEND","CDMESS","OV","PO","DESCRIPCION","FECHAOV","ID_SOLICITUD","FECHA_ELABORA_SOLICITUD","FECHA_ASIGNACION_SOLICITUD","IDCONTACTO","id","CANT","PROYECTO","MARCA","MOCELO","SERIE"
"270-2023","216","2023-01-06 11:31:54","Ganadas","432.000000","8366.6304000000","366","174","S3-289","94-2023","EI214945","Calibración de Rugosímetro. Servicio con acreditación EMA.","2023-01-06 11:32:40","MESS-CT-270-2023","2023-01-06 11:31:54","2023-01-06 11:31:54","-","82288","1","0","Mitutoyo","PH-A14","114711410"
"270-2023","216","2023-01-06 11:31:54","Ganadas","432.000000","8366.6304000000","366","174","S3-289","94-2023","EI214945","Calibración de Rugosímetro. Servicio con acreditación EMA.","2023-01-06 11:32:40","MESS-CT-270-2023","2023-01-06 11:31:54","2023-01-06 11:31:54","-","82288","1","0","Mahr","Mahrsurf M400","3416/15"
"270-2023","216","2023-01-06 11:31:54","Ganadas","506.000000","9799.8032000000","366","174","S3-64","94-2023","EI214945","Calibración de Comparador Óptico. Servicio con Acreditación EMA.","2023-01-06 11:32:40","MESS-CT-270-2023","2023-01-06 11:31:54","2023-01-06 11:31:54","-","82288","1","0","-","-","-"
"271-2023","207","2023-01-06 11:36:26","Ganadas","309.802140","6000.0000000000","194","171","S8-8","508-2023","4100700640","Calibración de Máquina o Instrumento medidor de fuerza. Alcance de 100kN a 890kN. Dos sentidos (tracción y compresión).Servicio con Acreditación EMA.","2023-01-25 16:04:50","MESS-SCT-227-2023","2023-01-05 19:01:35","2023-01-06 08:05:51","-","82289","1","58298","Mitutoyo","Graplate","2112001"
"271-2023","207","2023-01-06 11:36:26","Ganadas","309.802140","6000.0000000000","194","171","S8-8","508-2023","4100700640","Calibración de Máquina o Instrumento medidor de fuerza. Alcance de 100kN a 890kN. Dos sentidos (tracción y compresión).Servicio con Acreditación EMA.","2023-01-25 16:04:50","MESS-SCT-227-2023","2023-01-05 19:01:35","2023-01-06 08:05:51","-","82289","1","58298","Galdabini","Quasar 200","VE2Q"
"271-2023","207","2023-01-06 11:36:26","Ganadas","232.351605","4500.0000000000","194","171","S7-2","508-2023","4100700640","Calibración de mesa de planitud con longitud de 160 mm a 800 mm. Servicio en sitio. Servicio con acreditación ema. Calibración con Niveles electrónicos. Incertidumbre mínima declarada U = ± (1.7 + 0.0016 * L) µm, L en mm.","2023-01-25 16:04:50","MESS-SCT-227-2023","2023-01-05 19:01:35","2023-01-06 08:05:51","-","82289","1","58298","-","-","-"
"14763-2022","558","2022-12-09 12:42:59","Canceladas","254.152858","5000.0000000000","346","364","S7-2","SIN OV","SIN PO","Calibración de mesa de planitud con longitud de 160 mm a 800 mm. Servicio en sitio. Servicio con acreditación ema. Calibración con Niveles electrónicos. Incertidumbre mínima declarada U = ± (1.7 + 0.0016 * L) µm, L en mm.","","MESS-SCT-11268-2022","2022-12-08 17:42:49","2022-12-09 08:13:42","-","81498","2","57618","-","-","-"
"14763-2022","558","2022-12-09 12:42:59","Canceladas","203.322286","4000.0000000000","346","364","S7-3","SIN OV","SIN PO","Calibración de mesa de planitud con longitud mayor a 1210 mm hasta 1530 mm. Servicio en sitio. Servicio con acreditación ema. Calibración con Niveles electrónicos. Incertidumbre mínima declarada U = ± (1.7 + 0.0016 * L) µm, L en mm.","","MESS-SCT-11268-2022","2022-12-08 17:42:49","2022-12-09 08:13:42","-","81498","1","57618","-","-","-"
"14763-2022","558","2022-12-09 12:42:59","Canceladas","381.229287","7500.0000000000","346","364","S7-2","SIN OV","SIN PO","Calibración de mesa de planitud con longitud de 160 mm a 800 mm. Servicio en sitio. Servicio con acreditación ema. Calibración con Niveles electrónicos. Incertidumbre mínima declarada U = ± (1.7 + 0.0016 * L) µm, L en mm.","","MESS-SCT-11268-2022","2022-12-08 17:42:49","2022-12-09 08:13:42","-","81498","3","57618","-","-","-"
"14763-2022","558","2022-12-09 12:42:59","Canceladas","3165.473843","62275.0000000000","346","364","L15-111","SIN OV","SIN PO","Lapeado de mesa de granito.","","MESS-SCT-11268-2022","2022-12-08 17:42:49","2022-12-09 08:13:42","-","81498","5","57618","-","-","-"
"14763-2022","558","2022-12-09 12:42:59","Canceladas","1006.445316","19800.0000000000","346","364","L15-111","SIN OV","SIN PO","Lapeado de mesa de granito.","","MESS-SCT-11268-2022","2022-12-08 17:42:49","2022-12-09 08:13:42","-","81498","1","57618","-","-","-"
"272-2023","631","2023-01-06 11:46:30","Canceladas","71.770829","1390.0000000000","14","171","Sin registro","SIN OV","SIN PO","Ruby ball styli M3 D:1.5mm L:20.0mm","","MESS-SCT-188-2023","2023-01-05 11:19:17","2023-01-05 11:27:26","-","82290","1","58258","-","-","-"
"272-2023","631","2023-01-06 11:46:30","Canceladas","76.934198","1490.0000000000","14","171","P1-4652","SIN OV","SIN PO","Ruby Sphere XXT M3 D:1.5mm L:20.0mm","","MESS-SCT-188-2023","2023-01-05 11:19:17","2023-01-05 11:27:26","-","82290","1","58258","-","-","-"
"274-2023","4113","2023-01-06 12:12:47","Ganadas","218.000021","4222.0500000000","125","151","P29-617","2217-2023","23010048-G","CarbiMet PSA, 320 [P400], 8in","2023-04-06 15:35:37","MESS-SCT-245-2023","2023-01-06 10:23:32","2023-01-06 10:23:53","-","82292","1","57388","-","-","-"
"274-2023","4113","2023-01-06 12:12:47","Ganadas","144.000165","2788.8800000000","125","151","P29-813","2217-2023","23010048-G","TriDent, PSA, 8 in","2023-04-06 15:35:37","MESS-SCT-245-2023","2023-01-06 10:23:32","2023-01-06 10:23:53","-","82292","1","57388","-","-","-"
"275-2023","3435","2023-01-06 12:24:13","En proceso","1401.000000","27133.4472000000","125","6","P29-734","SIN OV","SIN PO","MetaDi Mono Suspension, 3µm, 1 gal","","MESS-CT-275-2023","2023-01-06 12:24:13","2023-01-06 12:24:13","-","82293","1","0","-","-","-"
"275-2023","3435","2023-01-06 12:24:13","En proceso","425.000000","8231.0600000000","125","6","P29-733","SIN OV","SIN PO","MetaDi Mono Suspension, 3µm, 32oz","","MESS-CT-275-2023","2023-01-06 12:24:13","2023-01-06 12:24:13","-","82293","1","0","-","-","-"
"275-2023","3435","2023-01-06 12:24:13","En proceso","870.000000","16849.4640000000","125","6","P29-707","SIN OV","SIN PO","MetaDi Paste, Mono, 3µm, 20g","","MESS-CT-275-2023","2023-01-06 12:24:13","2023-01-06 12:24:13","-","82293","1","0","-","-","-"
"275-2023","3435","2023-01-06 12:24:13","En proceso","621.000000","12027.0312000000","125","6","P29-690","SIN OV","SIN PO","MetaDi Ultra Paste, Poly, 3µm, 20g","","MESS-CT-275-2023","2023-01-06 12:24:13","2023-01-06 12:24:13","-","82293","1","0","-","-","-"
"275-2023","3435","2023-01-06 12:24:13","En proceso","511.000000","9896.6392000000","125","6","P29-719","SIN OV","SIN PO","MetaDi II Paste, Mono, 3µm, 20g","","MESS-CT-275-2023","2023-01-06 12:24:13","2023-01-06 12:24:13","-","82293","1","0","-","-","-"
"275-2023","3435","2023-01-06 12:24:13","En proceso","222.000000","4299.5184000000","125","6","P29-708","SIN OV","SIN PO","MetaDi Paste, Mono, 3µm, 5g","","MESS-CT-275-2023","2023-01-06 12:24:13","2023-01-06 12:24:13","-","82293","1","0","-","-","-"
"275-2023","3435","2023-01-06 12:24:13","En proceso","144.000000","2788.8768000000","125","6","P29-720","SIN OV","SIN PO","MetaDi II Paste, Mono, 3µm, 5g","","MESS-CT-275-2023","2023-01-06 12:24:13","2023-01-06 12:24:13","-","82293","1","0","-","-","-"
"276-2023","3063","2023-01-06 12:27:27","Ganadas","210.000000","4067.1120000000","14","368","P1-5729","501-2023","4501179687","Ruby sphere M5 D:5.0mm L:100.0mm","2023-01-25 12:21:39","MESS-SCT-235-2023","2023-01-06 09:07:09","2023-01-06 10:01:33","-","82294","3","58306","-","-","-"
"276-2023","3063","2023-01-06 12:27:27","Ganadas","270.000000","5229.1440000000","14","368","P1-5552","501-2023","4501179687","Ruby sphere M5 D:12.0mm L:75.0mm","2023-01-25 12:21:39","MESS-SCT-235-2023","2023-01-06 09:07:09","2023-01-06 10:01:33","-","82294","1","58306","-","-","-"
"276-2023","3063","2023-01-06 12:27:27","Ganadas","260.000000","5035.4720000000","14","368","P1-5730","501-2023","4501179687","Ruby sphere M5 D:3.0mm L:100.0mm","2023-01-25 12:21:39","MESS-SCT-235-2023","2023-01-06 09:07:09","2023-01-06 10:01:33","-","82294","4","58306","-","-","-"
"276-2023","3063","2023-01-06 12:27:27","Ganadas","140.000000","2711.4080000000","14","368","P1-5546","501-2023","4501179687","Ruby sphere M5 D:4.0mm L:40.0mm","2023-01-25 12:21:39","MESS-SCT-235-2023","2023-01-06 09:07:09","2023-01-06 10:01:33","-","82294","2","58306","-","-","-"
"276-2023","3063","2023-01-06 12:27:27","Ganadas","140.000000","2711.4080000000","14","368","P1-4804","501-2023","4501179687","Silicon Nitride / Tungsten M5 D:1.0mm L:30.0mm","2023-01-25 12:21:39","MESS-SCT-235-2023","2023-01-06 09:07:09","2023-01-06 10:01:33","-","82294","2","58306","-","-","-"
"276-2023","3063","2023-01-06 12:27:27","Ganadas","140.000000","2711.4080000000","14","368","P1-4681","501-2023","4501179687","Ruby Sphere M5 D:0.8mm L:22.3mm","2023-01-25 12:21:39","MESS-SCT-235-2023","2023-01-06 09:07:09","2023-01-06 10:01:33","-","82294","2","58306","-","-","-"
"276-2023","3063","2023-01-06 12:27:27","Ganadas","220.000000","4260.7840000000","14","368","P1-5731","501-2023","4501179687","Ruby sphere M5 D:6.0mm L:100.0mm","2023-01-25 12:21:39","MESS-SCT-235-2023","2023-01-06 09:07:09","2023-01-06 10:01:33","-","82294","2","58306","-","-","-"
"276-2023","3063","2023-01-06 12:27:27","Ganadas","30.000000","581.0160000000","14","368","Sin registro","501-2023","4501179687","Costo de manejo de cuenta.","2023-01-25 12:21:39","MESS-SCT-235-2023","2023-01-06 09:07:09","2023-01-06 10:01:33","-","82294","1","58306","-","-","-"
"278-2023","2325","2023-01-06 12:31:42","Ganadas","1000.372279","19374.4100000000","125","6","P29-199","138-2023","CWX1 161 2574576","SamplKwick Powder, 25lb [11.3kg]","2023-01-10 11:08:31","MESS-CT-278-2023","2023-01-06 12:31:42","2023-01-06 12:31:42","-","82296","1","0","-","-","-"
"279-2023","3338","2023-01-06 12:45:50","En proceso","617.022595","11950.0000000000","14","319","P1-4604","SIN OV","SIN PO","Ruby sphere M3XXT D:3mm L:50mm","","MESS-SCT-242-2023","2023-01-06 09:54:09","2023-01-06 10:01:57","-","82297","5","58314","-","-","-"
"280-2023","2325","2023-01-06 12:49:49","Ganadas","262.402412","5082.0000000000","125","6","P29-809","139-2023","CWX1 161 2561153","UltraPol, PSA, 8 in","2023-01-10 11:09:54","MESS-CT-280-2023","2023-01-06 12:49:49","2023-01-06 12:49:49","-","82298","2","0","-","-","-"
"281-2023","2325","2023-01-06 12:52:47","Ganadas","182.783262","3540.0000000000","125","6","P29-621","140-2023","CWX1 161 2571734","CarbiMet PSA, 600 [P1200], 8in (1kg, 22 x 22,x 5)","2023-01-10 11:11:00","MESS-CT-281-2023","2023-01-06 12:52:47","2023-01-06 12:52:47","-","82299","1","0","-","-","-"
"238-2023","2846","2023-01-05 17:30:58","Ganadas","309.968590","6000.0000000000","194","214","S8-6","245-2023","6950","Calibración de Máquina o Instrumento medidor de fuerza. Alcance de 10kN a 100kN. Dos sentidos (tracción y compresión). Servicio con Acreditación EMA.","2023-01-13 18:32:30","MESS-SCT-199-2023","2023-01-05 13:05:31","2023-01-05 13:08:42","-","82256","1","58269","Easydur","3MZ","29867"
"14899-2022","2327","2022-12-14 08:56:06","Ganadas","1800.000000","35362.4400000000","120","319","S2-147","244-2023","M0 54219","Calibración de CMM Global 9-12-8 Automática, opción extendido. Servicio con acreditación EMA.","2023-01-13 18:12:56","MESS-SCT-255-2023","2023-01-06 12:43:57","2023-01-06 12:53:38","-","81634","1","58333","-","-","-"
"14899-2022","2327","2022-12-14 08:56:06","Ganadas","200.000000","3929.1600000000","120","319","Sin registro","244-2023","M0 54219","Viáticos","2023-01-13 18:12:56","MESS-SCT-255-2023","2023-01-06 12:43:57","2023-01-06 12:53:38","-","81634","1","58333","-","-","-"
"15192-2022","1412","2022-12-22 18:04:56","Canceladas","24098.419759","474575.0000000000","14","213","P2-301","SIN OV","SIN PO","Cabezal PH10MQ Nuevo","","MESS-SCT-11575-2022","2022-12-22 10:06:35","2022-12-23 10:49:10","-","81927","1","57969","-","-","-"
"15192-2022","1412","2022-12-22 18:04:56","Canceladas","6802.348019","133960.0000000000","14","213","P2-28","SIN OV","SIN PO","Cabezal PH10MQ RBE (versión a cambio)","","MESS-SCT-11575-2022","2022-12-22 10:06:35","2022-12-23 10:49:10","-","81927","1","57969","-","-","-"
"15192-2022","1412","2022-12-22 18:04:56","Canceladas","11444.051754","225370.0000000000","14","213","P2-455","SIN OV","SIN PO","SP25M scanning probe kit # 2","","MESS-SCT-11575-2022","2022-12-22 10:06:35","2022-12-23 10:49:10","-","81927","1","57969","-","-","-"
"15192-2022","1412","2022-12-22 18:04:56","Canceladas","500.172648","9850.0000000000","14","213","S5-239","SIN OV","SIN PO","Instalación de Componentes","","MESS-SCT-11575-2022","2022-12-22 10:06:35","2022-12-23 10:49:10","-","81927","1","57969","-","-","-"
"15192-2022","1412","2022-12-22 18:04:56","Canceladas","6922.440233","136325.0000000000","14","213","P2-444","SIN OV","SIN PO","SP25M Probe Body only","","MESS-SCT-11575-2022","2022-12-22 10:06:35","2022-12-23 10:49:10","-","81927","1","57969","-","-","-"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","472.485427","9200.0000000000","346","229","S10-34","150-2023","7700180231","Calibracion Fuente (Power Wave) hasta maximo 1 000 V CD/CA Se reportarán 5 puntos de medición por intervalo de generación. Servicio Acreditado PJLA","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","4","58060","Keysight","N6763A","MY53000766"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","472.485427","9200.0000000000","346","229","S10-34","150-2023","7700180231","Calibracion Fuente (Power Wave) hasta maximo 1 000 V CD/CA Se reportarán 5 puntos de medición por intervalo de generación. Servicio Acreditado PJLA","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","4","58060","Sin referencia","NI - PXIe-4463","01BE2F1E"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","472.485427","9200.0000000000","346","229","S10-34","150-2023","7700180231","Calibracion Fuente (Power Wave) hasta maximo 1 000 V CD/CA Se reportarán 5 puntos de medición por intervalo de generación. Servicio Acreditado PJLA","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","4","58060","Sin referencia","NI - PXI-4462","01BEC94E"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","472.485427","9200.0000000000","346","229","S10-34","150-2023","7700180231","Calibracion Fuente (Power Wave) hasta maximo 1 000 V CD/CA Se reportarán 5 puntos de medición por intervalo de generación. Servicio Acreditado PJLA","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","4","58060","Sin referencia","TDK Lambda - GEN 30-80-1P230","LOC-716A331-0002"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","472.485427","9200.0000000000","346","229","S10-34","150-2023","7700180231","Calibracion Fuente (Power Wave) hasta maximo 1 000 V CD/CA Se reportarán 5 puntos de medición por intervalo de generación. Servicio Acreditado PJLA","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","4","58060","Sin referencia","NI PXI-6232","019CE948"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","472.485427","9200.0000000000","346","229","S10-34","150-2023","7700180231","Calibracion Fuente (Power Wave) hasta maximo 1 000 V CD/CA Se reportarán 5 puntos de medición por intervalo de generación. Servicio Acreditado PJLA","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","4","58060","Sin referencia","NI PXIe-4610","01B99800"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","1067.714352","20790.0000000000","346","229","S10-55","150-2023","7700180231","Calibración de generador de frecuencia de 1Hz - 10 KHz. Servicio Acreditado A2La","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","11","58060","Keysight","N6763A","MY53000767"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","1067.714352","20790.0000000000","346","229","S10-55","150-2023","7700180231","Calibración de generador de frecuencia de 1Hz - 10 KHz. Servicio Acreditado A2La","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","11","58060","Sin referencia","NI - PXIe-4463","01BE2F27"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","1067.714352","20790.0000000000","346","229","S10-55","150-2023","7700180231","Calibración de generador de frecuencia de 1Hz - 10 KHz. Servicio Acreditado A2La","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","11","58060","Sin referencia","NI - PXI-4462","01BDC958"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","1067.714352","20790.0000000000","346","229","S10-55","150-2023","7700180231","Calibración de generador de frecuencia de 1Hz - 10 KHz. Servicio Acreditado A2La","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","11","58060","Sin referencia","NI PXIe-4610","01BC8E62"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","1067.714352","20790.0000000000","346","229","S10-55","150-2023","7700180231","Calibración de generador de frecuencia de 1Hz - 10 KHz. Servicio Acreditado A2La","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","11","58060","Sin referencia","TDK Lambda - GEN 30-80-1P230","18K3694A"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","1067.714352","20790.0000000000","346","229","S10-55","150-2023","7700180231","Calibración de generador de frecuencia de 1Hz - 10 KHz. Servicio Acreditado A2La","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","11","58060","Sin referencia","NI PXI-6232","01D514B6"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","693.321008","13500.0000000000","346","229","S10-57","150-2023","7700180231","Calibración Tarjeta de Adquisición de Datos hasta 5 Canales. Servicio Acreditado PJLA Se requiere Cable de conexión por parte del cliente","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","2","58060","Sin referencia","NI - PXIe-4463","01BE2F19"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","693.321008","13500.0000000000","346","229","S10-57","150-2023","7700180231","Calibración Tarjeta de Adquisición de Datos hasta 5 Canales. Servicio Acreditado PJLA Se requiere Cable de conexión por parte del cliente","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","2","58060","Sin referencia","NI - PXI-4462","01AC6125"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","693.321008","13500.0000000000","346","229","S10-57","150-2023","7700180231","Calibración Tarjeta de Adquisición de Datos hasta 5 Canales. Servicio Acreditado PJLA Se requiere Cable de conexión por parte del cliente","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","2","58060","Sin referencia","NI PXIe-4610","01C6E94C"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","1386.642015","27000.0000000000","346","229","S10-60","150-2023","7700180231","Calibración Tarjeta - modulo de amplificación hasta 2 Canales. Servicio Acreditado PJLA Se reportará el valor de entrada vs salida.","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","4","58060","Sin referencia","NI - PXIe-4463","01AFCD3A"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","1386.642015","27000.0000000000","346","229","S10-60","150-2023","7700180231","Calibración Tarjeta - modulo de amplificación hasta 2 Canales. Servicio Acreditado PJLA Se reportará el valor de entrada vs salida.","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","4","58060","Sin referencia","NI - PXI-4462","01BDC954"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","1386.642015","27000.0000000000","346","229","S10-60","150-2023","7700180231","Calibración Tarjeta - modulo de amplificación hasta 2 Canales. Servicio Acreditado PJLA Se reportará el valor de entrada vs salida.","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","4","58060","-","National Instruments - NI PXIe-4463","01D1D0E6"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","1386.642015","27000.0000000000","346","229","S10-60","150-2023","7700180231","Calibración Tarjeta - modulo de amplificación hasta 2 Canales. Servicio Acreditado PJLA Se reportará el valor de entrada vs salida.","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","4","58060","Sin referencia","NI PXIe-4610","01D44003"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","2875.998254","56000.0000000000","346","229","S10-73","150-2023","7700180231","Calibración de medidor de frecuencia de 10Hz - 10 KHz. @ 1-5 Vpp Servicio Acreditado A2La","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","28","58060","Sin referencia","NI - PXIe-4463","01B5CA4E"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","2875.998254","56000.0000000000","346","229","S10-73","150-2023","7700180231","Calibración de medidor de frecuencia de 10Hz - 10 KHz. @ 1-5 Vpp Servicio Acreditado A2La","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","28","58060","Sin referencia","NI - PXI-4462","01BEC951"
"19-2023","5609","2023-01-02 14:03:13","Ganadas","2875.998254","56000.0000000000","346","229","S10-73","150-2023","7700180231","Calibración de medidor de frecuencia de 10Hz - 10 KHz. @ 1-5 Vpp Servicio Acreditado A2La","2023-01-10 15:47:08","MESS-SCT-5-2023","2023-01-02 11:27:26","2023-01-02 12:14:14","-","82037","28","58060","-","National Instruments - NI PXIe-4463","01D1D0E0"
"158-2023","600","2023-01-04 17:40:38","Ganadas","90.000000","1747.9800000000","14","30","P2-141","2820-2023","45131023","Ruby ball styli M2 D:2.0mm L:20.0mm","2023-05-03 16:48:42","MESS-CT-158-2023","2023-01-06 13:09:16","2023-01-06 13:09:16","-","82176","3","0","-","-","-"
"158-2023","600","2023-01-04 17:40:38","Ganadas","310.000000","6020.8200000000","14","30","P2-111","2820-2023","45131023","Cylinder Styli Ruby M2 D:2.0mm L:21.2mm","2023-05-03 16:48:42","MESS-CT-158-2023","2023-01-06 13:09:16","2023-01-06 13:09:16","-","82176","2","0","-","-","-"
"158-2023","600","2023-01-04 17:40:38","Ganadas","180.000000","3495.9600000000","14","30","P2-135","2820-2023","45131023","Ruby ball styli M2 D:1.0mm L:27.5mm","2023-05-03 16:48:42","MESS-CT-158-2023","2023-01-06 13:09:16","2023-01-06 13:09:16","-","82176","2","0","-","-","-"
"158-2023","600","2023-01-04 17:40:38","Ganadas","30.000000","582.6600000000","14","30","Sin registro","2820-2023","45131023","Costo de manejo de cuenta.","2023-05-03 16:48:42","MESS-CT-158-2023","2023-01-06 13:09:16","2023-01-06 13:09:16","-","82176","1","0","-","-","-"
"282-2023","401","2023-01-06 13:11:45","Ganadas","500.000000","9683.6000000000","366","168","S3-174","484-2023","PO23010466","Revisión y Diagnóstico","2023-01-25 09:11:48","MESS-CT-282-2023","2023-01-06 13:11:45","2023-01-06 13:11:45","-","82300","1","0","Accretech","Rondcom Nex 200","MA3803K"
"283-2023","1401","2023-01-06 13:34:28","Ganadas","107.346441","2079.0000000000","175","319","L1-1","261-2023","PO-ICSA-012-2023","Medición por cota Tipo I en CMM, menor de 10 cotas. Servicio con Acreditación EMA.","2023-01-16 12:08:25","MESS-SCT-262-2023","2023-01-06 13:26:39","2023-01-06 13:32:07","-","82301","1","58339","BOSCH","Sin referencia","Sin referencia"
"284-2023","1574","2023-01-06 13:34:28","Ganadas","64.542112","1250.0000000000","15","174","L1-2","116-2023","1029","Medición por cota Tipo I en CMM, de 11 a 30 cotas. Servicio con Acreditación EMA.","2023-01-09 10:57:28","MESS-CT-284-2023","2023-01-06 13:34:28","2023-01-06 13:34:28","-","82302","1","58342","-","-","-"
"15110-2022","3903","2022-12-20 17:13:32","Ganadas","1200.000000","23706.8400000000","366","229","S3-79","98-2023","4546372869","Calibración de Medidor de Redondez Surtronic R125. Servicio con Acreditación EMA.","2023-01-06 13:50:15","MESS-SCT-11528-2022","2022-12-20 12:37:18","2022-12-20 12:37:28","-","81845","2","57913","Taylor Hobson","Surtronic R125","18845"
"288-2023","2083","2023-01-06 14:11:48","Perdidas","2500.000000","48418.0000000000","78","319","S4-50","SIN OV","SIN PO","Calibración de Máquina de Medición por Coordenadas Tipo Brazo Articulado, Marca ROMER. Servicio con acreditación EMA.","","MESS-SCT-249-2023","2023-01-06 11:08:51","2023-01-06 11:37:22","-","82306","1","58323","-","-","-"
"288-2023","2083","2023-01-06 14:11:48","Perdidas","169.999793","3292.4200000000","78","319","Sin registro","SIN OV","SIN PO","Viáticos","","MESS-SCT-249-2023","2023-01-06 11:08:51","2023-01-06 11:37:22","-","82306","1","58323","-","-","-"
"289-2023","692","2023-01-06 14:17:01","Ganadas","986.845285","19112.4300000000","78","319","S4-51","149-2023","PVAITEC/014/2023","Servicio de medición por hora con Brazo Articulado de 0 mm a 3 700 mm, por método de comparación directa. Servicio con Acreditación EMA.","2023-01-10 15:03:43","MESS-SCT-230-2023","2023-01-06 08:05:00","2023-01-06 09:25:00","-","82307","3","58301","-","-","-"
"289-2023","692","2023-01-06 14:17:01","Ganadas","261.070263","5056.2000000000","78","319","Sin registro","149-2023","PVAITEC/014/2023","Viáticos","2023-01-10 15:03:43","MESS-SCT-230-2023","2023-01-06 08:05:00","2023-01-06 09:25:00","-","82307","1","58301","-","-","-"
"61-2023","1947","2023-01-03 13:07:19","Canceladas","862.055695","16800.0000000000","277","336","G1-53","SIN OV","SIN PO","C-002 CAPACITACIÓN DIPLOMADO EN METROLOGÍA INDUSTRIAL Duración: 152 hrs / Horario: viernes 4 hrs de 16:00 hrs a 20 hrs y sábado 4 hrs de 08:00 hrs a 12:00 hrs / Cupo máximo: 16 participantes / Requisitos: Conocimientos de estadística básica. Manejo de excel (nivel básico) Nivel de estudios técnico o superior.","","MESS-SCT-22-2023","2023-01-02 17:34:10","2023-01-02 17:42:40","-","82079","1","58080","-","-","-"
"61-2023","1947","2023-01-03 13:07:19","Canceladas","1795.949364","35000.0000000000","277","336","G1-5","SIN OV","SIN PO","Interpretación de planos (2 días). Duración: 16 horas / Cupo Máximo: 10 participantes / Modalidad: Instalaciones de cliente. -Registro ante la STPS.","","MESS-SCT-22-2023","2023-01-02 17:34:10","2023-01-02 17:42:40","-","82079","1","58080","-","-","-"
